name,participation_count,points,rank,ai_rank
Altus Consulting Corp,9,30850,369,
Karamelizuotos Krutys,7,30825,370,
EMP1,16,30825,371,
Omnikylling,9,30825,372,
Caliphal Hounds,10,30800,373,
l33chers,12,30800,374,
Cyb3rPr1s0n,8,30800,375,
CyberRangeUA,7,30775,376,
Nol3ptr,5,30775,377,
deadastronauts,7,30775,378,
f4n_n3r0,5,30775,379,
0xN0M4D_H4CK3R5,19,30750,380,
Us3l3ss p1e5,2,30750,381,
Python for the win,2,30725,382,
Cybercars,1,30650,383,
aespaFanClub,6,30600,384,
ExCSS:UK,11,30575,385,
Cyb3r S4mur@1s,9,30525,386,
ctdl,12,30375,387,
The. Flying.Wolves,1,30375,388,
realTUSK,8,30300,389,
cis,9,30275,390,
1c3Gh3tt0,4,30275,391,
AUTOEXEC.BAT,2,30250,392,
Exploitator3000,2,30225,393,
HTB Meetup FR 2,4,30225,394,
GlitchOP$,2,30150,395,
CyberSecHere,1,30075,396,
3DHIFlosen,2,29975,397,
Re'lar,3,29975,398,
FuQuanNDistillery,5,29975,399,
hagen{Fl4g_Hunt3r5},10,29925,400,
0xb00b1e5,3,29925,401,
Team Rennes,8,29825,402,
DC4822,4,29800,403,
mostyx,1,29800,404,
0x00_F,7,29800,405,
RootCom,18,29775,406,
RWPL,8,29750,407,
BreadBox,1,29750,408,
PerUCSM,2,29725,409,
UMGC,12,29700,410,
Skullcrackers,9,29700,411,
KRD CTFXor,11,29675,412,
Sanan,1,29650,413,
XiGua,16,29625,414,
Chrono,3,29625,415,
ROECYB,4,29575,416,
Visionware,12,29525,417,
AltissimoLivelloReloaded,5,29350,418,
Bug_hunters,6,29350,419,
SeekCreds,11,29325,420,
blackpinker,6,29300,421,
TahSec,8,29275,422,
Privilege of the Elden Lords,9,29275,423,
CGI Tuxs,14,29250,424,
Existential Crises,19,29225,425,
Cosmic Bit Flip,7,29150,426,
0nePadding,5,29150,427,
MvtinaPwn,9,28950,428,
kks,7,28925,429,
CYSLAB&Friends,5,28925,430,
Z33bra1337,9,28850,431,
NULLify,9,28850,432,
INDEFICIENTER,2,28850,433,
CaptureTheCoffee,10,28750,434,
DRM4h4ck,5,28750,435,
crypt0_1s_t00_h4rd,2,28750,436,
Electronic Turpitude,5,28700,437,
hansu,1,28700,438,
PwnOfPower,15,28700,439,
Plaid Parliament of Pwning,11,28525,440,
ISSG UPAT,8,28500,441,
1337Sheets,5,28450,442,
SIF,9,28425,443,
Cozy Tea Friends 🍵,7,28400,444,
ByteC4Ts,12,28400,445,
Inf3rn0_1mp4ct,5,28350,446,
DarkPanther,11,28350,447,
PotsDeConfiture,8,28275,448,
HicAutemYeehaws,10,28250,449,
WeAreJustHereForPizzas,9,28175,450,
JSoyke,1,28175,451,
LazyTitan33,1,28100,452,
Return of the MAC,12,28075,453,
Proof_Of_Concept,4,28025,454,
Air_Agent,4,28025,455,
SECTHINGS,6,28000,456,
VGU Cypher,15,27975,457,
Exploit Academy,11,27950,458,
Pentraze Cybersecurity,7,27900,459,
Prozhack,11,27900,460,
Kureo AS,5,27900,461,
wulalalalal,1,27900,462,
Script_Kiddie_Platoon,13,27875,463,
cyb3r_neuilles,11,27825,464,
onlyadmins,13,27800,465,
El_Psy_Kongroo,4,27800,466,
picoNOP,9,27775,467,
Mythic Mayhem - G1,17,27775,468,
testsudo,4,27775,469,
AirXeros,3,27750,470,
CVS_Bangers,9,27725,471,
CP_Z3R0,8,27700,472,
ConedCrushersV3,6,27675,473,
Hackers Fight Club,19,27625,474,
Pebb1e,1,27625,475,
99.90%,8,27550,476,
Jersey Drones,8,27525,477,
lugia,8,27450,478,
Cr4sh1ng0ut,7,27400,479,
(0h) BoyZ!,4,27400,480,
Catos,15,27300,481,
Out of nowhere,10,27250,482,
3HLD,5,27200,483,
securisec,1,27200,484,
BobsBowlingBahn,4,27175,485,
A Fundo,2,27125,486,
SuKMaDhe,7,27100,487,
LFAns,5,27075,488,
DigiTeam,5,27050,489,
HTB Meetup FR,5,27025,490,
OUCSS,10,27025,491,
Cyb3rCelestians,2,27000,492,
emsec,1,27000,493,
Chaos Control,17,27000,494,
TAS_DihydroMonoxide,13,26975,495,
CanhCutProMax,5,26950,496,
Cyber Skill Lab,3,26950,497,
Purple-Rabo,15,26875,498,
Happy Frogs Club,7,26850,499,
F0rl0rn_Intrud3rz,7,26800,500,
DarkWolfSolutions,7,26800,501,
H4ckth3b0x,1,26800,502,
BITSkrieg2025,17,26775,503,
solrunners,5,26750,504,
Cheese Crackers,7,26725,505,
RedRoom CTF,11,26700,506,
Shell We Hack?,8,26650,507,
n00b_Sec,10,26650,508,
cyber673,6,26625,509,
Quanita,5,26600,510,
MeowSec,5,26600,511,
5up3r m3n0,6,26600,512,
Micro_Club,14,26575,513,
SQRL,2,26450,514,
Fractured,7,26325,515,
0xlab,4,26300,516,
Let It Be______________e,15,26300,517,
REZilience,8,26275,518,
The Mickles,3,26275,519,
HippoCrack,7,26125,520,
Data Delinquents,6,26125,521,
SecFault,8,26100,522,
meng,1,26075,523,
omsec,15,26075,524,
Hidden_Investigations,6,26050,525,
modus pwnens,5,26050,526,
CyberCan,1,26025,527,
CBI Mad Hatter,2,26025,528,
TheRomanCasual,7,26000,529,
Kirasec,8,25975,530,
IPAS_PL,9,25975,531,
BlackSec,9,25850,532,
FrostByte Cybersecurity,7,25850,533,
KCSC,1,25825,534,
Snipeyes,1,25775,535,
sepiol,4,25750,536,
Bugs_B0unt3r,3,25700,537,
RMIT CyberSec,12,25700,538,
Geda no Gudi,8,25675,539,
Red Team Reapers,15,25675,540,
Bonzi Brigade,4,25650,541,
Kukko ja Paalit,3,25650,542,
bob_the_builders,13,25600,543,
TheQuakers,3,25600,544,
Team Seven,1,25500,545,
Lynxbit,10,25475,546,
masterofnone,2,25450,547,
SloppyJoePirates,1,25450,548,
no tools just right,4,25375,549,
Ministry of Silly Codes,6,25350,550,
UTCN,2,25250,551,
script_babies,9,25250,552,
NaughtyRandomWeapons,15,25250,553,
m01nm01n,4,25225,554,
Adamastor,5,25175,555,
munintrollet,2,25175,556,
Hack-Tuah,8,25175,557,
cypher00,8,25175,558,
428,6,25150,559,
Cyb3r b0nk,6,25125,560,
Despair,1,25125,561,
Neverhack-Red Team,3,25125,562,
SurfShark,7,25050,563,
Concrete CTF,11,25000,564,
0rang3Után,3,24975,565,
Inglorious Flagsterds,7,24875,566,
out in time,1,24875,567,
0xDEADBEAT,9,24850,568,
Penpester,2,24850,569,
Hack South,11,24825,570,
The Chefs,7,24800,571,
LayerZero,7,24775,572,
AdelaideB9,10,24750,573,
Sudo SSH,7,24725,574,
Reminded,5,24725,575,
pspspsps,4,24700,576,
TheHexHive,13,24675,577,
Untitled CTF Game,2,24675,578,
0TC,5,24650,579,
The Bleating Edge,14,24625,580,
Darking,18,24600,581,
r3dact0r,1,24575,582,
30 Cent,16,24575,583,
HackSmarterV2,19,24550,584,
R0073R5,3,24550,585,
CPCSEC,5,24550,586,
familiar maltese taxpayers,1,24525,587,
0xD3C0D3,9,24500,588,
AlhA,2,24500,589,
Slovak Cyber Team,8,24475,590,
Rop Runners,2,24450,591,
SSCyber,10,24450,592,
Burger Bot,3,24450,593,
thepizza,6,24425,594,
NoFlagFlagClub,9,24425,595,
DROP TABLE *,5,24375,596,
family therapy,6,24350,597,
7h3B14ckKn1gh75,8,24300,598,
Amande,2,24275,599,
geomsk0,1,24275,600,
Cyber HackAdemy,6,24250,601,
Polygl0tsHTB,13,24225,602,
MAGER,10,24200,603,
XT1NT,5,24200,604,
Killer097,2,24150,605,
HCTIB_AEISE,16,24125,606,
ITEBO,3,24050,607,
Claquettes Sans Chaussettes,8,24050,608,
Coney Island Arcade,5,24000,609,
CyberGoblinAvengers,4,23900,610,
From the void,3,23850,611,
λ,2,23850,612,
PwnCats,10,23825,613,
EATM,6,23825,614,
S3n7in3lX,8,23825,615,
QUB/CSIT CtF team,11,23775,616,
42acqua,20,23750,617,
PrivateUser,8,23750,618,
BrHackeuses,10,23725,619,
1ntrud3rs,6,23700,620,
StudentHack,6,23625,621,
BeyondMachines,2,23625,622,
Cyberretta,1,23575,623,
Team-915,1,23550,624,
Kingfisher Krew,13,23525,625,
PL314D3S,5,23525,626,
28.8 Kbps,13,23500,627,
TAMUCC ICS,6,23500,628,
OTSASumuvior,12,23475,629,
Meethack,6,23450,630,
Purple Dragons,6,23450,631,
Shad0w,1,23425,632,
Uranus,5,23400,633,
Crimson Defenk,11,23375,634,
GoldenB,8,23375,635,
$cr1pt_K1dd13$,3,23375,636,
DeepSeaBusch,1,23375,637,
salsa,1,23375,638,
PWNNET,3,23350,639,
Rusticada,3,23350,640,
R0M,4,23350,641,
V4L1DAT0R,3,23325,642,
Ctrl + Alt + Deploy,16,23275,643,
d0uGHk3R,6,23250,644,
pwndoria,6,23250,645,
Pifou,1,23225,646,
Griffyns,1,23200,647,
TCP1P,9,23150,648,
V&N,8,23150,649,
